accessRights	basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	coordinateUncertaintyInMeters	day	decimalLatitude	decimalLongitude	dynamicProperties	endDayOfYear	eventDate	eventRemarks	eventTime	family	footprintWKT	genus	geodeticDatum	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	higherClassification	higherGeography	identificationQualifier	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationAccordingTo	locationRemarks	maximumDepthInMeters	minimumDepthInMeters	modified	month	nomenclaturalCode	occurrenceID	order	organismID	otherCatalogNumbers	phylum	preparations	previousIdentifications	recordedBy	references	scientificName	specificEpithet	type	verbatimCoordinateSystem	verbatimCoordinates	verbatimEventDate	verbatimLocality	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	eventID	occurrenceStatus	scientificNameID	associatedReferences	bibliographicCitation	country	fieldNumber	individualCount	scientificNameAuthorship	sex	stateProvince	coordinatePrecision	occurrenceRemarks	verbatimDepth
http://vertnet.org/resources/norms.html	PreservedSpecimen	ALMNH:Inv:10332	Pycnogonida	Inv	https://arctos.database.museum/collection/ALMNH:Inv	Atlantic Ocean	1000	26	29.7602777778	-87.7755555556	verbatim agent=TOM HOPKINS, GRUNT	178	1976-06-26	Station: VI-A Cruise: BLM-40; Station: VI-A Cruise: BLM-40	1976-06-26	Phoxichilidiidae	POLYGON((-87.76521294554563 29.760338009342053,-87.76539829625499 29.758576338855658,-87.76597396621095 29.756880067225435,-87.76691781525398 29.755314376712285,-87.76819355979397 29.7539394288482,-87.76975216899305 29.752808053539795,-87.77153374970524 29.75196372014856,-87.77346984762814 29.751438868319873,-87.77548607631253 29.751253662503515,-87.77750497324955 29.751415217852898,-87.77944897366443 29.75191732712859,-87.78124338819858 29.752740699050324,-87.78281927051898 29.753853698966196,-87.78411606505885 29.755213563479543,-87.78508393341642 29.75676804251927,-87.78568567011948 29.758457405947787,-87.78589813405804 29.760216737796515,-87.78571314032561 29.761978430139454,-87.78513777781035 29.763674780890153,-87.78419413986673 29.76524059574236,-87.78291847794688 29.766615694234567,-87.7813598103105 29.767747223528414,-87.77957803900013 29.768591690819523,-87.77764164733499 29.769116636077467,-87.77562506648391 29.7693018806287,-87.77360581256993 29.769140303422787,-87.77166150471434 29.768638115026608,-87.76986687908081 29.767814618765815,-87.76829091414028 29.766701468221815,-87.76699417803772 29.76534144972302,-87.76602650027834 29.76378683678343,-87.7654250573175 29.76209737992567,-87.76521294554563 29.760338009342053))	Anoplodactylus	unknown	not recorded	transcribed from verbatim locality, error estimated	unverified	Tom Hopkins	1976-06-26 00:00:00	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae, Anoplodactylus,	Atlantic Ocean, Gulf of Mexico	A	unknown	ALMNH	ALMNH	Animalia	en	http://creativecommons.org/licenses/by/3.0/	No specific locality recorded.	Tom Hopkins	Higher geography interpreted from coordinates in verbatim locality.	36	36	2024-02-17 05:06:00.018746	06	ICZN	http://arctos.database.museum/guid/ALMNH:Inv:10332?seid=4917194	Pantopoda	http://arctos.database.museum/guid/ALMNH:Inv:10332	"[{""remarks"": null, ""issued_by"": null, ""identifier"": ""6001-00044 BLM-40-VI-A-a-8"", ""assigned_by"": ""unknown"", ""assigned_date"": ""2022-04-27"", ""identifier_type"": ""identifier""}]"	Arthropoda	unknown	"[{""idby"": ""unknown"", ""made_date"": null, ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Anoplodactylus insignis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae, Anoplodactylus, Anoplodactylus insignis"", ""name"": ""Anoplodactylus insignis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Arthropoda""}, {""psn"": 3, ""typ"": ""subphylum"", ""term"": ""Chelicerata""}, {""psn"": 4, ""typ"": ""class"", ""term"": ""Pycnogonida""}, {""psn"": 5, ""typ"": ""order"", ""term"": ""Pantopoda""}, {""psn"": 6, ""typ"": ""suborder"", ""term"": ""Eupantopodida""}, {""psn"": 7, ""typ"": ""superfamily"", ""term"": ""Phoxichilidoidea""}, {""psn"": 8, ""typ"": ""family"", ""term"": ""Phoxichilidiidae""}, {""psn"": 9, ""typ"": ""genus"", ""term"": ""Anoplodactylus""}, {""psn"": 10, ""typ"": ""species"", ""term"": ""Anoplodactylus insignis""}], ""nctrms"": [{""typ"": ""aphiaid"", ""term"": ""239973""}, {""typ"": ""author_text"", ""term"": ""(Hoek, 1881)""}, {""typ"": ""display_name"", ""term"": ""<i>Anoplodactylus insignis</i> (Hoek, 1881)""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Anoplodactylus insignis""}, {""typ"": ""source_authority"", ""term"": ""Bamber, R.N.; El Nagar, A. & Arango, C. P. (Eds) (2018). Pycnobase: World Pycnogonida Database. Anoplodactylus insignis (Hoek, 1881). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=239973""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""WoRMS (via Arctos)"", ""classification_id"": ""https://arctos.database.museum/name/Anoplodactylus insignis#WoRMSviaArctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Anoplodactylus insignis"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""unknown"", ""agent_identifier"": ""https://arctos.database.museum/agent/0"", ""identifier_order"": 1}], ""identification_remarks"": null, ""identification_attributes"": null}]"	Collector(s): Tom Hopkins, Grunt	http://arctos.database.museum/guid/ALMNH:Inv:10332	Anoplodactylus insignis	insignis	PhysicalObject	deg. min. sec.	29d 45m 37s N/87d 46m 32s W	26 JUNE 1976	Station: VI-A Cruise: BLM-40	Gulf of Mexico	1976	03d20471-2014-4f65-a687-e9efb13e6061	f7677584-eb01-44ca-96f9-a334381034fa	['b7c47783-a020-4173-b390-7b57c4fa1426']	36	204595200000.0	204595200000.0	204595200000.0	1976.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	37	52256	24.09	30.82															
	PreservedSpecimen	22545	Pycnogonida	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8				27.616667	-84.216667			1967-08-02			Phoxichilidiidae		Anoplodactylus													Animalia						73	73				f5d113c0-abaf-4b24-96d4-b45090795ad6	Pantopoda			Arthropoda					Anoplodactylus insignis									041a0f23-b9b9-437b-9551-d117e6f95398	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73	-76291200000.0	-76291200000.0	-76291200000.0	1967.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	67	137300	25.28	35.84	US	59b768cb-5bc4-491d-b2ba-ac8775df37f9	Present	urn:lsid:marinespecies.org:taxname:239973											
	PreservedSpecimen	273294.216920	Pycnogonida	Invertebrate Zoology: Crustacea				2	26.7627792358	-82.7186126709	observedindividualcount=1;		1981-05-02T12:00:00Z			Phoxichilidiidae		Anoplodactylus										Child, C. Allan	USNM		Animalia			Off Florida			24	24		5			Pantopoda			Arthropoda	Alcohol (Ethanol)		Continental Shelf Associates For Minerals Management Service BLM/ MMS		Anoplodactylus insignis							North Atlantic Ocean	1981	07c4be84-0784-45fa-b98c-b96c0d68d5bc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24	357609600000.0	357609600000.0	357609600000.0	1981.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	25	39685	25.12	36.08				urn:lsid:marinespecies.org:taxname:239973	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	1/IV-01-OTH	1.0	(Hoek)					
	PreservedSpecimen	22554	Pycnogonida	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8				26.4	-83.366667			1967-09-05			Phoxichilidiidae		Anoplodactylus													Animalia						55	55				795bf475-5498-460f-b135-f999dcfca63c	Pantopoda			Arthropoda					Anoplodactylus insignis									08a31444-a08a-44cd-95e9-0a2e5fb9ea57	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55	-73353600000.0	-73353600000.0	-73353600000.0	1967.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	56	114077	25.71	36.04	US	891fa9d5-30de-45b4-991d-621886b9e9d1	Present	urn:lsid:marinespecies.org:taxname:239973											
	PreservedSpecimen	224077.177161	Pycnogonida	Invertebrate Zoology: Crustacea				3	32.5149993896	-79.7149963379	observedindividualcount=1;		1983-10-03T12:00:00Z			Phoxichilidiidae		Anoplodactylus										South Carolina Mar Res BLM/ MMS	USNM		Animalia			Off South Carolina			19	19		10			Pantopoda			Arthropoda	Alcohol (Ethanol)		South Carolina Marine Resources For  BLM/ MMS		Anoplodactylus insignis							North Atlantic Ocean	1983	09d7e4ba-445d-426d-b570-d72826d98382	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	19	433987200000.0	433987200000.0	433987200000.0	1983.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	16	24675	22.71	35.85				urn:lsid:marinespecies.org:taxname:239973	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	830310	1.0	(Hoek)					
	PreservedSpecimen	195321.150587	Pycnogonida	Invertebrate Zoology: Crustacea				28	32.4905586243	-78.8202819824	observedindividualcount=1;		1978-09-28T12:00:00Z			Phoxichilidiidae		Anoplodactylus										Child, C. Allan	USNM		Animalia			James Island			32	32		9			Pantopoda			Arthropoda	Alcohol (Ethanol)		BLM/ MMS		Anoplodactylus insignis							North Atlantic Ocean	1978	0a9a065d-dd21-4ce6-98bc-e504783ae164	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	32	275788800000.0	275788800000.0	275788800000.0	1978.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	56	76697	24.54	36.18				urn:lsid:marinespecies.org:taxname:239973	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States		1.0	(Hoek)	male	Georgia			
	PreservedSpecimen	125447.89753	Pycnogonida	Invertebrate Zoology: Crustacea				8	12.1986103058	-72.1916732788	observedindividualcount=1;		1939-04-08T12:00:00Z			Phoxichilidiidae		Anoplodactylus										Child, C. Allan	USNM		Animalia			S Of Cape La Vela			40	38		4			Pantopoda			Arthropoda	Alcohol (Ethanol)				Anoplodactylus insignis							North Atlantic Ocean	1939	0aa48289-12c7-43d6-9d57-21cbf27781cd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	39	-969926400000.0	-969926400000.0	-969926400000.0	1939.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	23	1108	26.33	36.45				urn:lsid:marinespecies.org:taxname:239973	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Colombia		1.0	(Hoek)	female				
	PreservedSpecimen	16329	Pycnogonida	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8				26.4	-82.1			1965-08-06			Phoxichilidiidae		Anoplodactylus													Animalia						6	6				81b6406b-a257-42ea-b3fc-19dd67ac46e3	Pantopoda			Arthropoda					Anoplodactylus insignis									134ea47b-0700-452c-9401-ebdc8910162c	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	6	-139017600000.0	-139017600000.0	-139017600000.0	1965.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	6	2694	25.4	36.16	US	fa1f305e-f246-4c4c-9b04-033d7e3a69f8	Present	urn:lsid:marinespecies.org:taxname:239973											
	HumanObservation	Spp-43-045_H3	Pycnogonida	B89PII					28.1369018555	-92.0450134277						Phoxichilidiidae		Anoplodactylus										Child, C. A.	HRI		Animalia			NNW  Gulf of Mexico			90	0					Pantopoda			Arthropoda					Anoplodactylus insignis							Gulf of Mexico		1a7c1588-9dd4-47da-ae68-f5d23cd421cd	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45					False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	80	144519	25.36	35.51				urn:lsid:marinespecies.org:taxname:239973	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/				Hoek,			207680.0	Database description and disclaimer at: http://gulfbase.org/	0-90
	PreservedSpecimen	29184	Pycnogonida	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8				27.616667	-83.116667			1966-07-18			Phoxichilidiidae		Anoplodactylus													Animalia						18	18				06572c8c-ca41-4176-a7f9-2e023e2ec321	Pantopoda			Arthropoda					Anoplodactylus insignis									1ced046c-2483-46a5-a138-04b0f849183b	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	18	-109123200000.0	-109123200000.0	-109123200000.0	1966.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus insignis		2	1065	1274	1302	1358	379601	379610	14469	134592	239973	239973	Anoplodactylus insignis	[]	22	34810	24.64	35.94	US	266698e5-44fb-4e7e-84d9-1345f5b95841	Present	urn:lsid:marinespecies.org:taxname:239973											
