basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	month	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	locality	preparations	recordedBy	scientificNameAuthorship	stateProvince	typeStatus	waterBody	collectionID	continent	county	eventRemarks	eventTime	fieldNumber	georeferenceProtocol	habitat	higherClassification	higherGeography	institutionID	language	license	locationID	nomenclaturalCode	occurrenceID	occurrenceRemarks	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid	dateIdentified	sex
HumanObservation	USEPA'S EMAP	240	COL02	11	47.6969985962	-122.565002441	2002-07-11T12:00:00Z	EMAP_NCA	7	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:239846	2002	0221dc14-ede0-471d-9e3c-af7974c63c0d	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1026345600000.0	1026345600000.0	1026345600000.0	2002.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	['NO_DEPTH']	-37	52	10.26	24.17																																											
HumanObservation	USEPA'S EMAP	31879	CAL03	20	33.7470016479	-118.113998413	2003-08-20T12:00:00Z	EMAP_NCA	8	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:239846	2003	047adbe6-9f9b-402c-ab46-4c5e312c49ee	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1061337600000.0	1061337600000.0	1061337600000.0	2003.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	['ON_LAND']	-5	-102	17.19	33.44	5.0	5.0	5.0																																								
HumanObservation	USEPA'S EMAP	23385	CAL03	25	32.7620010376	-117.236000061	2003-07-25T12:00:00Z	EMAP_NCA	7	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:239846	2003	068c4b6a-f60a-416d-9465-2f4e7412b866	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1059091200000.0	1059091200000.0	1059091200000.0	2003.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	[]	-2	94			7.0	7.0	7.0																																								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80521.273395	Invertebrate Zoology: Crustacea		36.6170005798	-121.900001526		USNM		Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:849782		156ea0fd-1013-4b05-b0ac-b63f20c4d95d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Phoxichilidium compactum	['NO_DEPTH']	-4	7	12.9	32.93				National Museum of Natural History, Smithsonian Institution	United States	observedindividualcount=1;	Hilton, W. A.	1.0	Monterey Bay, Pacific Grove	Alcohol (Ethanol)	W. Hilton	Hilton	California	Paratype	North Pacific Ocean																												
PreservedSpecimen		164344	IZ	27	37.97189	-122.48331	2001-10-27	CAS	10	Anoplodactylus viridintestinalis		2001	3b4e584c-a59a-4a24-ab5a-74c5240d2511	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1004140800000.0	1004140800000.0	1004140800000.0	2001.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	[]	2	37	12.47	32.15	2.0	1.0	1.5		United States		Mary K. Wicksten		San Rafael, Loch Lomond Marina, outer dock, from rope hanging from floating dock	Fluid-75% EtOH(50)	R. Ayres, C. Brown, D. Lang, F. Piche, C. Carrillo, M. Doyle, L. Cawthon	(Cole, 1904)	California			https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Marin County	overcast conditions, GPS waypoint B3-005, two whirlpacks of mixed specimens narcotized in the field with MgCl.	0940	064254	GPS	nylon rope	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	067c11d3-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:164344	specimen count is approximate. Wicksten placed the species in the genus Halosoma.	viridintestinalis	300	species	Physical Object	27 Oct 2001	37.97189° N	122.48331° W	Biota	1.0		
PreservedSpecimen		165765	IZ	31	37.97194	-122.48322	2001-03-31	CAS	3	Anoplodactylus viridintestinalis		2001	3faa3e45-3954-47ae-8194-c8b5de163d7a	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	985996800000.0	985996800000.0	985996800000.0	2001.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	[]	2	44	12.47	32.15	1.0	0.0	0.5		United States		M. Wicksten		San Rafael, Loch Lomond Marina, inner marina, dock A, slip 46.	Fluid-75% EtOH(2)	L. Topinka, C. Brown, S. Houghston	(Cole, 1904)	California			https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Marin County	GPS waypoint 01-005, sunny with slight breeze.	1242	062679		plastic	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	0672e087-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:165765		viridintestinalis	90	species	Physical Object	31 Mar 2001	37.97194° N	122.48322° W	Biota	1.0	2002	
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81529.274079	Invertebrate Zoology: Crustacea	20	38.25	-122.949996948	1934-12-20T12:00:00Z	USNM	12	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:379407	1934	6ebc0e23-cbb8-4bdb-8d1e-6d334bdc25a4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1105574400000.0	-1105574400000.0	-1105574400000.0	1934.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Endeis compacta	['NO_DEPTH', 'ON_LAND']	-114	-1626	11.55	32.79				National Museum of Natural History, Smithsonian Institution	United States	observedindividualcount=1;	Hilton, W. A.	1.0	Dillon Beach	Alcohol (Ethanol)	O. Hartman	Hilton	California	Holotype	North Pacific Ocean			Marin County																									female
HumanObservation	USEPA'S EMAP	341	COL00	1	48.5299987793	-122.540000916	1997-01-01T12:00:00Z	EMAP_NCA	1	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:239846	1997	79322dc1-14cf-4307-a147-c3f9f2123ac1	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	852076800000.0	852076800000.0	852076800000.0	1997.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	[]	2	560	9.84	25.11		5.5	5.5																																								
HumanObservation	USEPA's Environmental Monitoring and Assessment Program	1426	CAL99	19	33.1450004578	-117.342002869	1999-08-19T12:00:00Z	EMAP_NCA	8	Anoplodactylus viridintestinalis	urn:lsid:marinespecies.org:taxname:239846	1999	7dfa83c4-6b7a-456c-8b52-c434af2af06c	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	935020800000.0	935020800000.0	935020800000.0	1999.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	['ON_LAND']	-4	-159	17.73	33.34		6.0	6.0																																								
PreservedSpecimen		165764	IZ	26	37.77936	-122.37638	2001-09-26	CAS	9	Anoplodactylus viridintestinalis		2001	98013893-09f8-44e3-80ce-2787f15f078e	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1001462400000.0	1001462400000.0	1001462400000.0	2001.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus viridintestinalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239846	239846	Anoplodactylus viridintestinalis	[]	27	712	12.58	31.97		16.5	16.5		United States		M. Wicksten		off Pacific Bell Park.	Fluid-75% EtOH(1)	"C. Piotrowski, C. Brown, G. Brooks aboard R/V ""Lucile"""	(Cole, 1904)	California			https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	San Francisco County	GPS waypoint 008, bottom composed of approx. 80% shell, 5% rock, and 10% sand.	0930	062843	GPS	shell fragments, mud	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	06736db5-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:165764		viridintestinalis	269	species	Physical Object	26 Sep 2001	37.77936° N	122.37638° W	Biota	1.0	2002	
